Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Cour0	Cour1	Cour2	
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	
S	S	S																														S	S	S	
			d6,32																																
			U6,8																R	r															
			D6,28																																
			d7,28																																
			U7,17																	R	r														
			D7,15																																
			d8,15																																
			U8,46																		R	r													
			D8,10																																
			d9,10																																
D2,3	W		U9,51																			R	r										T1,5		
			D9,2																																
	T1,23		d10,2																				R	r											
			D10,0																														t5,5		
	W																							R									T5,5		
	T5,23																																t6,5		
	W																																T6,5		
	T6,23																																t7,5		
	W																																T7,5		
	T7,23		P23																																
			d0,23																																
D5,2			U0,0	P										r																			t8,5		
			D0,23																																
			d1,23																																
	W		U1,0											R	r																			T2,5	
	T2,23		D1,23	G33																															
			d2,23												R																				
			U2,0													r																		t0,23	
			D2,23																																
			d3,23																																
			U3,0													R	r																		
			D3,23																																
			d4,23																																
			U4,0														R	r																	
			D4,23																																
			d5,23																																
			U5,0															R	r																
			D5,23																																
			d6,23																																
D0,2			U6,4																R	r															
			D6,19																																
			d7,19																																
			U7,17																	R	r														
			D7,19																																
			d8,19																																
			U8,32																		R	r													
			D8,5																																
			d9,5																																
			U9,51																			R	r												
			D9,5																																
			d10,5																				R	r											
			D10,0																					R											
			P33																																
			d0,33																																
D3,3			U0,0	P										r																					
			D0,33																																
			d1,33																																
			U1,0	G27										R	r																				
			D1,33																																
			d2,33																																
			U2,0												R	r																			
			D2,33																																
			d3,33																																
			U3,0													R	r																		
			D3,33																																
			d4,33																																
			U4,0														R	r																	
			D4,33																																
			d5,33																																
			U5,0															R	r																
			D5,33																																
			d6,33																																
			U6,0																R	r															
			D6,29																																
			d7,29																																
D0,3			U7,17																	R	r														
			D7,29																																
			d8,29																																
			U8,23																		R	r													
			D8,20																																
			d9,20																																
			U9,38																			R	r												
			D9,7																																
			d10,7																				R	r											
			D10,0																					R											
			P27																																
			d0,27																																
			U0,0	P										r																					
			D0,27																																
			d1,27																																
D3,2			U1,0	G32										R	r																				
			D1,27																																
			d2,27																																
			U2,0												R	r																			
			D2,27																																
			d3,27																																
			U3,0													R	r																		
			D3,27																																
			d4,27																																
			U4,0														R	r																	
			D4,27																																
			d5,27																																
			U5,0															R	r																
			D5,27																																
			d6,27																																
			U6,0																R	r															
			D6,27																																
			d7,27																																
D0,1			U7,16																	R	r														
			D7,26																																
			d8,26																																
			U8,17																		R	r													
			D8,20																																
			d9,20																																
			U9,34																			R	r												
			D9,16																																
			d10,16																																
			U10,49																				R	r											
			D10,11																																
			d11,11																					R	r										
			D11,0																						R										
			P32																																
			d0,32																																
			U0,0	P										r																					
			D0,32																																
			d1,32																																
D6,3			U1,0	G33										R	r																				
			D1,32																																
			d2,32																																
			U2,0												R	r																			
			D2,32																																
			d3,32																																
			U3,0													R	r																		
			D3,32																																
			d4,32																																
			U4,0														R	r																	
			D4,32																																
			d5,32																																
			U5,0															R	r																
			D5,32																																
			d6,32																																
			U6,0																R	r															
			D6,32																																
			d7,32																																
D6,1			U7,7																	R	r														
			D7,23																																
			d8,23																																
			U8,17																		R	r													
			D8,23																																
			d9,23																																
			U9,22																			R	r												
			D9,11																																
			d10,11																																
			U10,47																				R	r											
			D10,9																																
			d11,9																																
			U11,51																					R	r										
			D11,3																																
			d12,3																						R	r									
D5,2			D12,0																							R									
			P33																																
			d0,33																																
			U0,0	P										r																					
			D0,33																																
			d1,33																																
			U1,0	G41										R	r																				
			D1,33																																
			d2,33																																
			U2,0												R	r																			
			D2,33																																
			d3,33																																
			U3,0													R	r																		
			D3,33																																
			d4,33																																
			U4,0														R	r																	
			D4,33																																
			d5,33																																
D1,1			U5,0															R	r																
			D5,33																																
			d6,33																																
			U6,0																R	r															
			D6,33																																
			d7,33																																
			U7,7																	R	r														
			D7,33																																
			d8,33																																
			U8,17																		R	r													
			D8,33																																
			d9,33																																
			U9,17																			R	r												
			D9,28																																
			d10,28																																
			U10,24																				R	r											
			D10,5																																
			d11,5																																
D8,3			U11,50																					R	r										
			D11,4																																
			d12,4																						R	r									
			D12,0																							R									
			P41																																
			d0,41																																
			U0,0	P										r																					
			D0,41																																
			d1,41																																
			U1,0	G50										R	r																				
			D1,41																																
			d2,41																																
D6,1			U2,0												R	r																			
			D2,41																																
			d3,41																																
	W		U3,0													R	r																T8,5		
	T8,23		D3,41																																
			d4,41																																
			U4,0														R	r															t3,23		
			D4,41																																
			d5,41																																
			U5,0															R	r																
			D5,41																																
			d6,41																																
			U6,0																R	r															
			D6,41																																
			d7,41																																
			U7,1																	R	r														
			D7,35																																
			d8,35																																
			U8,17																		R	r													
			D8,35																																
			d9,35																																
D7,1			U9,17																			R	r												
			D9,35																																
			d10,35																																
			U10,17																				R	r											
			D10,28																																
			d11,28																																
			U11,29																					R	r										
			D11,7																																
			d12,7																						R	r									
			D12,0																							R									
			P50																																
			d0,50																																
			U0,0	P										r																					
			D0,50																																
			d1,50																																
			U1,0	G23										R	r																				
			D1,50																																
			d2,50																																
D5,2			U2,0												R	r																			
			D2,50																																
			d3,50																																
			U3,0													R	r																		
			D3,50																																
			d4,50																																
			U4,0														R	r																	
			D4,50																																
			d5,50																																
			U5,0															R	r																
			D5,50																																
			d6,50																																
			U6,0																R	r															
			D6,50																																
			d7,50																																
			U7,0																	R	r														
			D7,49																																
			d8,49																																
D7,3			U8,4																		R	r													
			D8,36																																
			d9,36																																
			U9,17																			R	r												
			D9,36																																
			d10,36																																
			U10,17																				R	r											
			D10,36																																
			d11,36																																
			U11,17																					R	r										
			D11,24																																
			d12,24																																
			U12,37																						R	r									
			D12,7																																
			d13,7																							R	r								
D0,1			D13,0																								R								
			P23																																
			d0,23																																
			U0,0	P										r																					
			D0,23																																
			d1,23																																
			U1,0	G33										R	r																				
			D1,23																																
			d2,23																																
			U2,0												R	r																			
			D2,23																																
			d3,23																																
			U3,0													R	r																		
			D3,23																																
			d4,23																																
			U4,0														R	r																	
			D4,23																																
			d5,23																																
D8,1			U5,0															R	r																
			D5,23																																
			d6,23																																
			U6,0																R	r															
			D6,23																																
			d7,23																																
			U7,0																	R	r														
			D7,23																																
			d8,23																																
			U8,0																		R	r													
			D8,19																																
			d9,19																																
			U9,7																			R	r												
			D9,9																																
			d10,9																																
			U10,17																				R	r											
			D10,9																																
			d11,9																																
D2,2			U11,17																					R	r										
			D11,9																																
			d12,9																																
			U12,33																						R	r									
			D12,5																																
			d13,5																							R	r								
			D13,0																								R								
			P33																																
			d0,33																																
			U0,0	P										r																					
			D0,33																																
			d1,33																																
			U1,0	G22										R	r																				
			D1,33																																
			d2,33																																
			U2,0												R	r																			
			D2,33																																
			d3,33																																
D5,1			U3,0													R	r																		
			D3,33																																
			d4,33																																
			U4,0														R	r																	
			D4,33																																
			d5,33																																
			U5,0															R	r																
			D5,33																																
			d6,33																																
			U6,0																R	r															
			D6,33																																
			d7,33																																
			U7,0																	R	r														
			D7,33																																
			d8,33																																
			U8,0																		R	r													
			D8,33																																
			d9,33																																
			U9,0																			R	r												
			D9,26																																
			d10,26																																
D7,2			U10,10																				R	r											
			D10,19																																
			d11,19																																
			U11,17																					R	r										
			D11,19																																
			d12,19																																
			U12,20																						R	r									
			D12,6																																
			d13,6																							R	r								
			D13,0																								R								
			P22																																
			d0,22																																
D5,2			U0,0	P										r																					
			D0,22																																
			d1,22																																
			U1,0	G31										R	r																				
			D1,22																																
			d2,22																																
			U2,0												R	r																			
			D2,22																																
			d3,22																																
			U3,0													R	r																		
			D3,22																																
			d4,22																																
			U4,0														R	r																	
			D4,22																																
			d5,22																																
			U5,0															R	r																
			D5,22																																
			d6,22																																
D7,2			U6,0																R	r															
			D6,22																																
			d7,22																																
			U7,0																	R	r														
			D7,22																																
			d8,22																																
			U8,0																		R	r													
			D8,22																																
			d9,22																																
			U9,0																			R	r												
			D9,22																																
			d10,22																																
			U10,0																				R	r											
			D10,12																																
			d11,12																																
			U11,14																					R	r										
			D11,9																																
			d12,9																																
			U12,17																						R	r									
			D12,6																																
D4,2			d13,6																							R	r								
			D13,0																								R								
			P31																																
			d0,31																																
			U0,0	P										r																					
			D0,31																																
			d1,31																																
			U1,0	G38										R	r																				
			D1,31																																
			d2,31																																
			U2,0												R	r																			
			D2,31																																
			d3,31																																
D3,2			U3,0													R	r																		
			D3,31																																
			d4,31																																
			U4,0														R	r																	
			D4,31																																
			d5,31																																
			U5,0															R	r																
			D5,31																																
			d6,31																																
			U6,0																R	r															
			D6,31																																
			d7,31																																
			U7,0																	R	r														
			D7,31																																
			d8,31																																
			U8,0																		R	r													
			D8,31																																
			d9,31																																
D6,2			U9,0																			R	r												
			D9,31																																
			d10,31																																
			U10,0																				R	r											
			D10,31																																
			d11,31																																
			U11,4																					R	r										
			D11,21																																
			d12,21																																
			U12,17																						R	r									
			D12,21																																
			d13,21																							R	r								
D2,2			D13,0																								R								
			P38																																
			d0,38																																
			U0,0	P										r																					
			D0,38																																
			d1,38																																
			U1,0	G48										R	r																				
			D1,38																																
			d2,38																																
			U2,0												R	r																			
			D2,38																																
			d3,38																																
			U3,0													R	r																		
			D3,38																																
			d4,38																																
			U4,0														R	r																	
			D4,38																																
			d5,38																																
D0,1			U5,0															R	r																
			D5,38																																
			d6,38																																
			U6,0																R	r															
			D6,38																																
			d7,38																																
			U7,0																	R	r														
			D7,38																																
			d8,38																																
			U8,0																		R	r													
			D8,38																																
			d9,38																																
			U9,0																			R	r												
			D9,38																																
			d10,38																																
			U10,0																				R	r											
			D10,38																																
			d11,38																																
D2,2			U11,0																					R	r										
			D11,34																																
			d12,34																																
			U12,8																						R	r									
			D12,25																																
			d13,25																																
			U13,17																							R	r								
			D13,19																																
			d14,19																								R	r							
D7,3			D14,0																									R							
			P48																																
			d0,48																																
			U0,0	P										r																					
			D0,48																																
			d1,48																																
			U1,0	G26										R	r																				
			D1,48																																
			d2,48																																
			U2,0												R	r																			
