Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Cour0	Cour1	Cour2	
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	
S	S	S																														S	S	S	
			D14,43																																
			d15,43																																
			U15,0																									R	r						
			D15,43																																
			d16,43																																
			U16,0																										R	r					
			D16,43																																
			d17,43																																
			U17,0																											R	r				
D4,3			D17,43																												R				
			P51																																
			d0,51																																
			U0,0	P										r																					
			D0,51																																
			d1,51																																
			U1,0	G25										R	r																				
			D1,51																																
			d2,51																																
			U2,0												R	r																			
			D2,51																																
			d3,51																																
			U3,0													R	r																		
			D3,51																																
			d4,51																																
D4,3			U4,0														R	r																	
			D4,51																																
			d5,51																																
			U5,0															R	r																
			D5,51																																
			d6,51																																
			U6,0																R	r															
			D6,51																																
			d7,51																																
			U7,0																	R	r														
			D7,51																																
			d8,51																																
			U8,0																		R	r													
			D8,51																																
			d9,51																																
			U9,0																			R	r												
			D9,51																																
			d10,51																																
D5,2			U10,0																				R	r											
			D10,51																																
			d11,51																																
			U11,0																					R	r										
			D11,51																																
			d12,51																																
			U12,0																						R	r									
			D12,51																																
			d13,51																																
			U13,0																							R	r								
			D13,51																																
			d14,51																																
			U14,0																								R	r							
			D14,51																																
			d15,51																																
			U15,0																									R	r						
			D15,51																																
			d16,51																																
			U16,0																										R	r					
			D16,51																																
			d17,51																																
D0,1			U17,0																											R	r				
			D17,51																												R				
			P25																																
			d0,25																																
			U0,0	P										r																					
			D0,25																																
			d1,25																																
D0,3			U1,0	G31										R	r																				
			D1,25																																
			d2,25																																
			U2,0												R	r																			
			D2,25																																
			d3,25																																
			U3,0													R	r																		
			D3,25																																
			d4,25																																
			U4,0														R	r																	
			D4,25																																
			d5,25																																
			U5,0															R	r																
			D5,25																																
			d6,25																																
			U6,0																R	r															
			D6,25																																
			d7,25																																
			U7,0																	R	r														
			D7,25																																
			d8,25																																
D6,2			U8,0																		R	r													
			D8,25																																
			d9,25																																
			U9,0																			R	r												
			D9,25																																
			d10,25																																
			U10,0																				R	r											
			D10,25																																
			d11,25																																
			U11,0																					R	r										
			D11,25																																
			d12,25																																
			U12,0																						R	r									
			D12,25																																
			d13,25																																
			U13,0																							R	r								
			D13,25																																
			d14,25																																
D6,1			U14,0																								R	r							
			D14,25																																
			d15,25																																
			U15,0																									R	r						
			D15,25																																
			d16,25																																
			U16,0																										R	r					
			D16,25																																
			d17,25																																
			U17,0																											R	r				
D7,3			D17,25																												R				
			P31																																
			d0,31																																
			U0,0	P										r																					
			D0,31																																
			d1,31																																
			U1,0	G40										R	r																				
			D1,31																																
			d2,31																																
			U2,0												R	r																			
			D2,31																																
			d3,31																																
			U3,0													R	r																		
			D3,31																																
			d4,31																																
			U4,0														R	r																	
			D4,31																																
			d5,31																																
D2,3			U5,0															R	r																
			D5,31																																
			d6,31																																
			U6,0																R	r															
			D6,31																																
			d7,31																																
			U7,0																	R	r														
			D7,31																																
			d8,31																																
			U8,0																		R	r													
			D8,31																																
			d9,31																																
			U9,0																			R	r												
			D9,31																																
			d10,31																																
			U10,0																				R	r											
			D10,31																																
			d11,31																																
D4,2			U11,0																					R	r										
			D11,31																																
			d12,31																																
			U12,0																						R	r									
			D12,31																																
			d13,31																																
			U13,0																							R	r								
			D13,31																																
			d14,31																																
			U14,0																								R	r							
			D14,31																																
			d15,31																																
			U15,0																									R	r						
			D15,31																																
			d16,31																																
			U16,0																										R	r					
			D16,31																																
			d17,31																																
			U17,0																											R	r				
D7,3			D17,31																												R				
			P40																																
			d0,40																																
			U0,0	P										r																					
			D0,40																																
			d1,40																																
			U1,0	G38										R	r																				
			D1,40																																
			d2,40																																
			U2,0												R	r																			
			D2,40																																
			d3,40																																
			U3,0													R	r																		
			D3,40																																
			d4,40																																
			U4,0														R	r																	
			D4,40																																
			d5,40																																
D8,3			U5,0															R	r																
			D5,40																																
			d6,40																																
			U6,0																R	r															
			D6,40																																
			d7,40																																
			U7,0																	R	r														
			D7,40																																
			d8,40																																
			U8,0																		R	r													
			D8,40																																
			d9,40																																
			U9,0																			R	r												
			D9,40																																
			d10,40																																
			U10,0																				R	r											
			D10,40																																
			d11,40																																
D2,1			U11,0																					R	r										
			D11,40																																
			d12,40																																
			U12,0																						R	r									
			D12,40																																
			d13,40																																
			U13,0																							R	r								
			D13,40																																
			d14,40																																
			U14,0																								R	r							
			D14,40																																
			d15,40																																
			U15,0																									R	r						
			D15,40																																
			d16,40																																
			U16,0																										R	r					
			D16,40																																
			d17,40																																
			U17,0																											R	r				
D0,3			D17,40																												R				
			P38																																
			d0,38																																
			U0,0	P										r																					
			D0,38																																
			d1,38																																
			U1,0	G16										R	r																				
			D1,38																																
			d2,38																																
			U2,0												R	r																			
			D2,38																																
			d3,38																																
			U3,0													R	r																		
			D3,38																																
			d4,38																																
			U4,0														R	r																	
			D4,38																																
			d5,38																																
D6,2			U5,0															R	r																
			D5,38																																
			d6,38																																
			U6,0																R	r															
			D6,38																																
			d7,38																																
			U7,0																	R	r														
			D7,38																																
			d8,38																																
			U8,0																		R	r													
			D8,38																																
			d9,38																																
			U9,0																			R	r												
			D9,38																																
			d10,38																																
			U10,0																				R	r											
			D10,38																																
			d11,38																																
			U11,0																					R	r										
			D11,38																																
			d12,38																																
D6,3			U12,0																						R	r									
			D12,38																																
			d13,38																																
			U13,0																							R	r								
			D13,38																																
			d14,38																																
			U14,0																								R	r							
			D14,38																																
			d15,38																																
			U15,0																									R	r						
			D15,38																																
			d16,38																																
			U16,0																										R	r					
			D16,38																																
			d17,38																																
			U17,0																											R	r				
D5,1			D17,38																												R				
			P16																																
			d0,16																																
			U0,0	P										r																					
			D0,16																																
			d1,16																																
			U1,0	G24										R	r																				
			D1,16																																
			d2,16																																
D5,3			U2,0												R	r																			
			D2,16																																
			d3,16																																
			U3,0													R	r																		
			D3,16																																
			d4,16																																
			U4,0														R	r																	
			D4,16																																
			d5,16																																
			U5,0															R	r																
			D5,16																																
			d6,16																																
			U6,0																R	r															
			D6,16																																
			d7,16																																
			U7,0																	R	r														
			D7,16																																
			d8,16																																
D4,2			U8,0																		R	r													
			D8,16																																
			d9,16																																
			U9,0																			R	r												
			D9,16																																
			d10,16																																
			U10,0																				R	r											
			D10,16																																
			d11,16																																
			U11,0																					R	r										
			D11,16																																
			d12,16																																
			U12,0																						R	r									
			D12,16																																
			d13,16																																
			U13,0																							R	r								
			D13,16																																
			d14,16																																
			U14,0																								R	r							
			D14,16																																
			d15,16																																
D2,2			U15,0																									R	r						
			D15,16																																
			d16,16																																
			U16,0																										R	r					
			D16,16																																
			d17,16																																
			U17,0																											R	r				
			D17,16																												R				
			P24																																
			d0,24																																
			U0,0	P										r																					
			D0,24																																
			d1,24																																
D2,2			U1,0	G18										R	r																				
			D1,24																																
			d2,24																																
			U2,0												R	r																			
			D2,24																																
			d3,24																																
			U3,0													R	r																		
			D3,24																																
			d4,24																																
			U4,0														R	r																	
			D4,24																																
			d5,24																																
			U5,0															R	r																
			D5,24																																
			d6,24																																
			U6,0																R	r															
			D6,24																																
			d7,24																																
D8,1			U7,0																	R	r														
			D7,24																																
			d8,24																																
			U8,0																		R	r													
			D8,24																																
			d9,24																																
			U9,0																			R	r												
			D9,24																																
			d10,24																																
			U10,0																				R	r											
			D10,24																																
			d11,24																																
			U11,0																					R	r										
			D11,24																																
			d12,24																																
			U12,0																						R	r									
			D12,24																																
			d13,24																																
			U13,0																							R	r								
			D13,24																																
			d14,24																																
D8,1			U14,0																								R	r							
			D14,24																																
			d15,24																																
			U15,0																									R	r						
			D15,24																																
			d16,24																																
			U16,0																										R	r					
			D16,24																																
			d17,24																																
			U17,0																											R	r				
			D17,24																												R				
			P18																																
			d0,18																																
			U0,0	P										r																					
			D0,18																																
			d1,18																																
			U1,0	G27										R	r																				
			D1,18																																
			d2,18																																
D8,2			U2,0												R	r																			
			D2,18																																
			d3,18																																
			U3,0													R	r																		
			D3,18																																
			d4,18																																
			U4,0														R	r																	
			D4,18																																
			d5,18																																
			U5,0															R	r																
			D5,18																																
			d6,18																																
			U6,0																R	r															
			D6,18																																
			d7,18																																
			U7,0																	R	r														
			D7,18																																
			d8,18																																
D5,2			U8,0																		R	r													
			D8,18																																
			d9,18																																
			U9,0																			R	r												
			D9,18																																
			d10,18																																
			U10,0																				R	r											
			D10,18																																
			d11,18																																
			U11,0																					R	r										
			D11,18																																
			d12,18																																
			U12,0																						R	r									
			D12,18																																
			d13,18																																
			U13,0																							R	r								
			D13,18																																
			d14,18																																
			U14,0																								R	r							
			D14,18																																
			d15,18																																
D2,2	W		U15,0																									R	r					T8,23	
			D15,18																																
			d16,18																																
			U16,0										B10									B2,16							R	r				t2,23	
			D16,18																																
			d17,18																																
	T8,23		U17,0																											R	r				
			D17,18																												R				
			P27																																
			d0,27																																
D8,1			U0,0	P										r																					
			D0,27																																
			d1,27																																
			U1,0	G50										R	r																				
			D1,27																																
			d2,27																																
			U2,0												R	r																			
			D2,27																																
			d3,27																																
			U3,0													R	r																		
			D3,27																																
			d4,27																																
			U4,0														R	r																	
			D4,27																																
			d5,27																																
			U5,0															R	r																
			D5,27																																
			d6,27																																
D8,2			U6,0																R	r															
			D6,27																																
			d7,27																																
			U7,0																	R	r														
			D7,27																																
			d8,27																																
			U8,0																		R	r													
			D8,26																																
			d9,26																																
			U9,0																			R	r												
			D9,26																																
			d10,26																																
			U10,0																				R	r											
			D10,26																																
			d11,26																																
			U11,0																					R	r										
			D11,26																																
			d12,26																																
			U12,0																						R	r									
			D12,26																																
			d13,26																																
D6,3			U13,0																							R	r								
			D13,26																																
			d14,26																																
			U14,0																								R	r							
			D14,26																																
			d15,26																																
			U15,0																									R	r						
			D15,26																																
			d16,26																																
			U16,0																										R	r					
			D16,26																																
			d17,26																																
			U17,0																											R	r				
D3,3			D17,26																												R				
			P50																																
			d0,50																																
			U0,0	P										r																					
			D0,50																																
			d1,50																																
			U1,0	G26										R	r																				
			D1,50																																
			d2,50																																
			U2,0												R	r																			
			D2,50																																
			d3,50																																
			U3,0													R	r																		
			D3,50																																
			d4,50																																
			U4,0														R	r																	
			D4,50																																
			d5,50																																
D3,1			U5,0															R	r																
			D5,50																																
			d6,50																																
			U6,0																R	r															
			D6,50																																
			d7,50																																
			U7,0																	R	r														
			D7,50																																
			d8,50																																
			U8,0																		R	r													
			D8,50																																
			d9,50																																
			U9,0																			R	r												
			D9,50																																
			d10,50																																
			U10,0																				R	r											
			D10,50																																
			d11,50																																
			U11,0																					R	r										
			D11,50																																
			d12,50																																
D5,1			U12,0																						R	r									
			D12,50																																
			d13,50																																
			U13,0																							R	r								
			D13,50																																
			d14,50																																
			U14,0																								R	r							
			D14,50																																
			d15,50																																
			U15,0																									R	r						
			D15,50																																
			d16,50																																
			U16,0																										R	r					
			D16,50																																
			d17,50																																
			U17,0																											R	r				
D2,3			D17,50																												R				
			P26																																
			d0,26																																
			U0,0	P										r																					
			D0,26																																
			d1,26																																
			U1,0	G46										R	r																				
			D1,26																																
			d2,26																																
D8,3			U2,0												R	r																			
			D2,26																																
			d3,26																																
			U3,0													R	r																		
			D3,26																																
			d4,26																																
			U4,0														R	r																	
			D4,26																																
			d5,26																																
			U5,0															R	r																
			D5,26																																
			d6,26																																
			U6,0																R	r															
			D6,26																																
			d7,26																																
			U7,0																	R	r														
			D7,26																																
			d8,26																																
			U8,0																		R	r													
			D8,26																																
			d9,26																																
D4,1			U9,0																			R	r												
			D9,26																																
			d10,26																																
			U10,0																				R	r											
			D10,26																																
			d11,26																																
			U11,0																					R	r										
			D11,26																																
			d12,26																																
			U12,0																						R	r									
			D12,26																																
			d13,26																																
			U13,0																							R	r								
			D13,26																																
			d14,26																																
			U14,0																								R	r							
			D14,26																																
			d15,26																																
D2,1			U15,0																									R	r						
			D15,26																																
			d16,26																																
			U16,0																										R	r					
			D16,26																																
			d17,26																																
			U17,0																											R	r				
			D17,26																												R				
			P46																																
			d0,46																																
			U0,0	P										r																					
			D0,46																																
			d1,46																																
			U1,0	G30										R	r																				
			D1,46																																
			d2,46																																
			U2,0												R	r																			
			D2,46																																
			d3,46																																
D5,2			U3,0													R	r																		
			D3,46																																
			d4,46																																
			U4,0														R	r																	
			D4,46																																
			d5,46																																
			U5,0															R	r																
			D5,46																																
			d6,46																																
			U6,0																R	r															
			D6,46																																
			d7,46																																
			U7,0																	R	r														
			D7,46																																
			d8,46																																
			U8,0																		R	r													
			D8,46																																
			d9,46																																
D0,1			U9,0																			R	r												
			D9,46																																
			d10,46																																
			U10,0																				R	r											
			D10,46																																
			d11,46																																
			U11,0																					R	r										
			D11,46																																
			d12,46																																
			U12,0																						R	r									
			D12,46																																
			d13,46																																
			U13,0																							R	r								
			D13,46																																
			d14,46																																
			U14,0																								R	r							
			D14,46																																
			d15,46																																
			U15,0																									R	r						
			D15,46																																
			d16,46																																
D4,2			U16,0																										R	r					
			D16,46																																
			d17,46																																
			U17,0																											R	r				
			D17,46																												R				
			P30																																
			d0,30																																
			U0,0	P										r																					
			D0,30																																
			d1,30																																
			U1,0	G49										R	r																				
			D1,30																																
			d2,30																																
			U2,0												R	r																			
			D2,30																																
			d3,30																																
D8,2			U3,0													R	r																		
			D3,30																																
			d4,30																																
			U4,0														R	r																	
			D4,30																																
			d5,30																																
			U5,0															R	r																
			D5,30																																
			d6,30																																
			U6,0																R	r															
			D6,30																																
			d7,30																																
			U7,0																	R	r														
			D7,30																																
			d8,30																																
			U8,0																		R	r													
			D8,30																																
			d9,30																																
			U9,0																			R	r												
			D9,30																																
			d10,30																																
D6,3			U10,0																				R	r											
			D10,30																																
			d11,30																																
			U11,0																					R	r										
			D11,30																																
			d12,30																																
			U12,0																						R	r									
			D12,30																																
			d13,30																																
			U13,0																							R	r								
			D13,30																																
			d14,30																																
			U14,0																								R	r							
			D14,30																																
			d15,30																																
			U15,0																									R	r						
			D15,30																																
			d16,30																																
D6,3			U16,0																										R	r					
			D16,30																																
			d17,30																																
			U17,0																											R	r				
			D17,30																												R				
			P49																																
			d0,49																																
			U0,0	P										r																					
			D0,49																																
			d1,49																																
			U1,0	G37										R	r																				
			D1,49																																
			d2,49																																
			U2,0												R	r																			
			D2,49																																
			d3,49																																
			U3,0													R	r																		
			D3,49																																
			d4,49																																
D8,1			U4,0														R	r																	
			D4,49																																
			d5,49																																
			U5,0															R	r																
			D5,49																																
			d6,49																																
			U6,0																R	r															
			D6,49																																
			d7,49																																
			U7,0																	R	r														
			D7,49																																
			d8,49																																
			U8,0																		R	r													
			D8,49																																
			d9,49																																
			U9,0																			R	r												
			D9,49																																
			d10,49																																
D2,3			U10,0																				R	r											
			D10,49																																
			d11,49																																
	W		U11,0				B15									B2,16								R	r									T2,23	
...	...	...	...	...	...	...	F	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	
			D11,49																																
			d12,49																																
			U12,0																															t7,23	
	W		D12,49									B15									B0,16				R	r								T7,23	
			d13,49																																
			U13,0																							R	r							t4,23	
			D13,49																																
			d14,49																																
			U14,0																								R	r							
			D14,49																																
			d15,49																																
			U15,0																									R	r						
			D15,49																																
			d16,49																																
			U16,0																										R	r					
			D16,49																																
			d17,49																																
D8,2	T7,23		U17,0																											R	r				
			D17,49																												R				
			P37																																
			d0,37																																
			U0,0	P										r																					
			D0,37																																
			d1,37																																
			U1,0	G51										R	r																				
			D1,37																																
			d2,37																																
			U2,0												R	r																			
			D2,36																																
			d3,36																																
D0,2			U3,0													R	r																		
			D3,36																																
			d4,36																																
			U4,0														R	r																	
			D4,36																																
			d5,36																																
			U5,0															R	r																
			D5,36																																
			d6,36																																
			U6,0																R	r															
			D6,36																																
			d7,36																																
			U7,0																	R	r														
			D7,35																																
			d8,35																																
			U8,0																		R	r													
			D8,35																																
			d9,35																																
			U9,0																			R	r												
			D9,35																																
			d10,35																																
D7,1			U10,0																				R	r											
			D10,35																																
			d11,35																																
			U11,0																					R	r										
			D11,35																																
			d12,35																																
			U12,0																						R	r									
			D12,35																																
			d13,35																																
			U13,0																							R	r								
			D13,35																																
			d14,35																																
			U14,0																								R	r							
			D14,35																																
			d15,35																																
			U15,0																									R	r						
			D15,35																																
			d16,35																																
D0,3			U16,0																										R	r					
			D16,35																																
			d17,35																																
			U17,0																											R	r				
			D17,35																												R				
			P51																																
			d0,51																																
			U0,0	P										r																					
			D0,51																																
			d1,51																																
D7,1			U1,0	G46										R	r																				
			D1,51																																
			d2,51																																
			U2,0												R	r																			
			D2,51																																
			d3,51																																
			U3,0													R	r																		
			D3,51																																
			d4,51																																
			U4,0														R	r																	
			D4,51																																
			d5,51																																
			U5,0															R	r																
			D5,51																																
			d6,51																																
			U6,0																R	r															
			D6,51																																
			d7,51																																
			U7,0																	R	r														
			D7,51																																
			d8,51																																
D0,1			U8,0																		R	r													
			D8,51																																
			d9,51																																
			U9,0																			R	r												
			D9,51																																
			d10,51																																
			U10,0																				R	r											
			D10,51																																
			d11,51																																
			U11,0																					R	r										
			D11,51																																
			d12,51																																
			U12,0																						R	r									
			D12,51																																
			d13,51																																
			U13,0																							R	r								
			D13,51																																
			d14,51																																
D3,2			U14,0																								R	r							
			D14,51																																
			d15,51																																
			U15,0																									R	r						
			D15,51																																
			d16,51																																
			U16,0																										R	r					
			D16,51																																
			d17,51																																
			U17,0																											R	r				
			D17,51																												R				
			P46																																
			d0,46																																
			U0,0	P										r																					
			D0,46																																
			d1,46																																
D4,2			U1,0	G30										R	r																				
			D1,46																																
			d2,46																																
			U2,0												R	r																			
			D2,46																																
			d3,46																																
			U3,0													R	r																		
			D3,46																																
			d4,46																																
			U4,0														R	r																	
			D4,46																																
			d5,46																																
			U5,0															R	r																
			D5,46																																
			d6,46																																
			U6,0																R	r															
			D6,46																																
			d7,46																																
D8,3			U7,0																	R	r														
			D7,46																																
			d8,46																																
			U8,0																		R	r													
			D8,46																																
			d9,46																																
			U9,0																			R	r												
			D9,46																																
			d10,46																																
			U10,0																				R	r											
			D10,46																																
			d11,46																																
			U11,0																					R	r										
			D11,46																																
			d12,46																																
			U12,0																						R	r									
			D12,46																																
			d13,46																																
			U13,0																							R	r								
			D13,46																																
			d14,46																																
D6,2			U14,0																								R	r							
			D14,46																																
			d15,46																																
			U15,0																									R	r						
			D15,46																																
			d16,46																																
			U16,0																										R	r					
			D16,46																																
			d17,46																																
			U17,0																											R	r				
D1,1			D17,46																												R				
			P30																																
			d0,30																																
			U0,0	P										r																					
			D0,30																																
			d1,30																																
			U1,0	G46										R	r																				
			D1,30																																
			d2,30																																
			U2,0												R	r																			
			D2,30																																
			d3,30																																
			U3,0													R	r																		
			D3,30																																
			d4,30																																
D6,3			U4,0														R	r																	
			D4,30																																
			d5,30																																
			U5,0															R	r																
			D5,30																																
			d6,30																																
			U6,0																R	r															
			D6,30																																
			d7,30																																
			U7,0																	R	r														
			D7,30																																
			d8,30																																
			U8,0																		R	r													
			D8,30																																
			d9,30																																
			U9,0																			R	r												
			D9,30																																
			d10,30																																
			U10,0																				R	r											
			D10,30																																
			d11,30																																
D4,3			U11,0																					R	r										
			D11,30																																
			d12,30																																
			U12,0																						R	r									
			D12,30																																
			d13,30																																
			U13,0																							R	r								
			D13,30																																
			d14,30																																
			U14,0																								R	r							
			D14,30																																
			d15,30																																
			U15,0																									R	r						
			D15,30																																
			d16,30																																
			U16,0																										R	r					
			D16,30																																
			d17,30																																
D8,2			U17,0																											R	r				
			D17,30																												R				
			P46																																
			d0,46																																
			U0,0	P										r																					
			D0,46																																
			d1,46																																
			U1,0	G46										R	r																				
			D1,46																																
			d2,46																																
			U2,0												R	r																			
			D2,46																																
			d3,46																																
			U3,0													R	r																		
			D3,46																																
			d4,46																																
			U4,0														R	r																	
			D4,46																																
			d5,46																																
D2,1	W		U5,0															R	r															T4,23	
			D5,46																																
			d6,46																																
			U6,0						B15									B3,16	R	r														t6,23	
	W		D6,46																															T6,23	
			d7,46																																
			U7,0																	R	r													t3,5	
	W		D7,46								B15									B0,16														T3,5	
			d8,46																																
	T3,23		U8,0																		R	r													
			D8,46																																
			d9,46																																
			U9,0																			R	r											t5,23	
			D9,46																																
			d10,46																																
	T6,23		U10,0																				R	r											
			D10,46																																
			d11,46																																
D1,3	T4,23		U11,0																					R	r										
			D11,46																																
			d12,46																																
			U12,0																						R	r									
			D12,46																																
			d13,46																																
			U13,0																							R	r								
			D13,46																																
			d14,46																																
			U14,0																								R	r							
			D14,46																																
			d15,46																																
			U15,0																									R	r						
			D15,46																																
			d16,46																																
			U16,0																										R	r					
			D16,46																																
			d17,46																																
			U17,0																											R	r				
D6,3			D17,46																												R				
			P46																																
			d0,46																																
			U0,0	P										r																					
			D0,46																																
			d1,46																																
			U1,0	G14										R	r																				
			D1,46																																
			d2,46																																
			U2,0												R	r																			
			D2,46																																
